	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12
d1_0	0	0.0878883	0.0518742	0.0361316	0.0278379	0.0226161	0.0180805	0.0156058	0.0116903	0.00921833	0.00717499	0.00601761	0.00187942
d1_1	0.0696328	0.0165124	0.0121257	0.0119503	0.0113737	0.0098505	0.00907997	0.010061	0.00844602	0.00749553	0.0064545	0.00261104	0
d1_2	0.0388578	0.0126137	0.0106484	0.00992194	0.00923155	0.00790585	0.00792277	0.00720809	0.00794795	0.00623895	0.00299068	0	0
d1_3	0.0271145	0.010013	0.00978102	0.00827632	0.00779889	0.00787306	0.00694996	0.00715785	0.00675934	0.00299342	0	0	0
d1_4	0.0197547	0.00950221	0.00821403	0.00813468	0.00799756	0.00716148	0.00661643	0.00769493	0.00359987	0	0	0	0
d1_5	0.0152955	0.00824956	0.00813958	0.00750765	0.00667614	0.00648186	0.00669049	0.00347117	0	0	0	0	0
d1_6	0.0121794	0.00768728	0.00750592	0.00695164	0.00684453	0.00734548	0.00387673	0	0	0	0	0	0
d1_7	0.00973016	0.00705997	0.00655901	0.00643028	0.00694468	0.00347117	0	0	0	0	0	0	0
d1_8	0.00787642	0.00715289	0.00664711	0.00645398	0.00359987	0	0	0	0	0	0	0	0
d1_9	0.00710663	0.00638467	0.0068932	0.00299342	0	0	0	0	0	0	0	0	0
d1_10	0.00530511	0.00560686	0.00299068	0	0	0	0	0	0	0	0	0	0
d1_11	0.004911	0.00261104	0	0	0	0	0	0	0	0	0	0	0
d1_12	0.00187942	0	0	0	0	0	0	0	0	0	0	0	0
