Taxa,Longitud,Latitud
Zea mays subsp. parviglumis raza Balsas,-100.9,19.45
Zea mays subsp. mexicana raza Mesa Central,-101.6,19.4
Zea mays subsp. parviglumis raza Balsas,-101.9166667,19.38333333
Zea mays subsp. parviglumis raza Balsas,-97.03333333,16.33333333
Zea mays subsp. parviglumis raza Balsas,-104.0666667,19.53333333
Zea mays subsp. parviglumis raza Balsas,-104.7666667,19.75
Zea mays subsp. parviglumis raza Balsas,-104.05,19.98333333
Zea mays subsp. parviglumis raza Balsas,-104.0666667,19.96666667
Zea perennis,-103.5833333,19.63333333
Zea perennis,-103.5666667,19.63333333
Zea perennis,-103.5833333,19.65
Zea diploperennis,-104.2,19.61666667
Zea mays subsp. parviglumis raza Balsas,-104.4,20.8
Zea mays subsp. parviglumis raza Balsas,-104.2333333,20.6
Zea mays subsp. parviglumis raza Balsas,-104.5,20.68333333
Zea mays subsp. parviglumis raza Balsas,-104.4166667,20.63333333
Zea mays subsp. mexicana raza Chalco,-98.98333333,19.36666667
Zea mays subsp. parviglumis raza Balsas,-99.18333333,18.28333333
Zea mays subsp. parviglumis raza Balsas,-100.1166667,18.33333333
Zea mays subsp. parviglumis raza Balsas,-99.96666667,18.38333333
Zea mays subsp. mexicana raza Mesa Central,-101.9333333,20.1
Zea mays subsp. mexicana raza Mesa Central,-101.1666667,20.15
Zea mays subsp. parviglumis raza Balsas,-100.4666667,19.26666667
Zea mays subsp. mexicana raza Mesa Central,-102.3666667,20.18333333
Zea mays subsp. mexicana raza Mesa Central,-102.1,20.2
Zea mays subsp. mexicana raza Mesa Central,-102.0833333,20.16666667
Zea mays subsp. mexicana raza Chalco,-97.55,19.08333333
Zea mays subsp. mexicana raza Chalco,-97.53333333,19.06666667
Zea mays subsp. mexicana raza Chalco,-97.63333333,19.11666667
Zea mays subsp. mexicana raza Chalco,-97.55,19.16666667
Zea mays subsp. mexicana raza Chalco,-99.46666667,19.26666667
Zea mays subsp. mexicana raza Chalco,-99.46666667,19.2
Zea mays subsp. parviglumis raza Balsas,-104.6166667,19.91666667
Zea mays subsp. parviglumis raza Balsas,-104.1166667,20.71666667
Zea mays subsp. mexicana raza Mesa Central,-101.1666667,19.9
Zea mays subsp. parviglumis raza Balsas,-104.15,19.91666667
Zea mays subsp. parviglumis raza Balsas,-104,19.95
Zea diploperennis,-104.2166667,19.6
Zea diploperennis,-104.2,19.5
Zea mays subsp. mexicana raza Chalco,-98.88333333,19.25
Zea mays subsp. mexicana raza Mesa Central,-102.6,20.3
Zea mays subsp. mexicana raza Mesa Central,-102.6166667,20.31666667
Zea mays subsp. mexicana raza Mesa Central,-102.9,20.4
Zea mays subsp. mexicana raza Mesa Central,-102.6166667,20.31666667
Zea mays subsp. mexicana raza Mesa Central,-102.9333333,20.36666667
Zea mays subsp. mexicana raza Nobogame,-106.95,26.21666667
Zea mays subsp. mexicana raza Nobogame,-106.9333333,26.21666667
Zea mays subsp. parviglumis raza Balsas,-104.4166667,20.63333333
Zea mays subsp. mexicana raza Mesa Central,-104.4833333,24.01666667
Zea mays subsp. mexicana raza Mesa Central,-104.4833333,24.08333333
Zea mays subsp. parviglumis raza Balsas,-100.9,18.81666667
Zea mays subsp. parviglumis raza Balsas,-100.9333333,18.8
Zea mays subsp. parviglumis raza Balsas,-100.9333333,18.78333333
Zea mays subsp. parviglumis raza Balsas,-100.95,18.86666667
Zea mays subsp. parviglumis raza Balsas,-101.0333333,18.93333333
Zea mays subsp. parviglumis raza Balsas,-101.3166667,19.15
Zea mays subsp. mexicana raza Mesa Central,-102.05,20.15
Zea mays subsp. mexicana raza Mesa Central,-102.35,20.15
Zea mays subsp. mexicana raza Chalco,-98.33333333,19.2
Zea mays subsp. mexicana raza Chalco,-97.5,19.05
Zea mays subsp. mexicana raza Chalco,-97.53333333,19.1
Zea mays subsp. mexicana raza Chalco,-97.6,19.1
Zea mays subsp. mexicana raza Chalco,-97.56666667,19.16666667
Zea mays subsp. mexicana raza Chalco,-97.41666667,19.06666667
Zea mays subsp. mexicana raza Chalco,-98.48333333,19.08333333
Zea mays subsp. mexicana raza Mesa Central,-102.3333333,20.41666667
Zea mays subsp. parviglumis raza Balsas,-104.2166667,20.6
Zea mays subsp. parviglumis raza Balsas,-104.3833333,20.78333333
Zea mays subsp. parviglumis raza Balsas,-104.4,20.81666667
Zea mays subsp. parviglumis raza Balsas,-104.55,20.83333333
Zea mays subsp. parviglumis raza Balsas,-104.5333333,20.8
Zea mays subsp. parviglumis raza Balsas,-104.0333333,19.45
Zea mays subsp. parviglumis raza Balsas,-101.9166667,19.36666667
Zea mays subsp. parviglumis raza Balsas,-101.9166667,19.33333333
Zea mays subsp. mexicana raza Chalco,-99.66666667,19.33333333
Zea mays subsp. mexicana raza Chalco,-99.76666667,19.3
Zea mays subsp. mexicana raza Chalco,-99.68333333,19.25
Zea mays subsp. mexicana raza Chalco,-99.55,19.2
Zea mays subsp. mexicana raza Chalco,-98.76666667,19.06666667
Zea mays subsp. mexicana raza Chalco,-98.76666667,19.11666667
Zea mays subsp. mexicana raza Chalco,-98.86666667,19.21666667
Zea mays subsp. mexicana raza Chalco,-98.85,19.13333333
Zea mays subsp. mexicana raza Chalco,-98.86666667,19.18333333
Zea mays subsp. parviglumis raza Balsas,-99.46666667,17.38333333
Zea mays subsp. parviglumis raza Balsas,-99.4,17.4
Zea mays subsp. parviglumis raza Balsas,-99.78333333,18.5
Zea mays subsp. parviglumis raza Balsas,-99.21666667,18.25
Zea mays subsp. parviglumis raza Balsas,-99.2,18.25
Zea mays subsp. parviglumis raza Balsas,-99.2,18.25
Zea mays subsp. parviglumis raza Balsas,-99.2,18.21666667
Zea mays subsp. parviglumis raza Balsas,-100.1333333,18.36666667
Zea mays subsp. parviglumis raza Balsas,-101.2,19.05
Zea mays subsp. parviglumis raza Balsas,-101.1833333,19.05
Zea mays subsp. parviglumis raza Balsas,-100.3333333,18.78333333
Zea mays subsp. parviglumis raza Balsas,-100.2333333,18.83333333
Zea mays subsp. parviglumis raza Balsas,-100.2,18.88333333
Zea mays subsp. parviglumis raza Balsas,-100.2333333,18.85
